Gene pair,Co-occurrence,weight factor
"('Pex13', 'Pex29')",0,1
"('Pex2', 'Vps1')",0,1
"('Pex10', 'Vps1')",0,1
"('Pex8', 'Vps1')",0,1
"('Pex29', 'Vps1')",0,1
"('Pex8', 'Pex29')",0,1
"('Pex17', 'Vps1')",1,0.5
"('Pex29', 'Pex32')",1,0.5
"('Pex8', 'Pex34')",1,0.5
"('Pex13', 'Pex34')",1,0.5
"('Pex19', 'Vps1')",1,0.5
"('Pex3', 'Vps1')",1,0.5
"('Pex13', 'Vps1')",1,0.5
"('Pex10', 'Pex29')",2,0.333333333333333
"('Pex2', 'Pex29')",2,0.333333333333333
"('Pex22', 'Pex29')",2,0.333333333333333
"('Pex14', 'Vps1')",2,0.333333333333333
"('Pex6', 'Pex29')",2,0.333333333333333
"('Pex6', 'Pex34')",2,0.333333333333333
"('Pex6', 'Pex32')",2,0.333333333333333
"('Pex14', 'Pex29')",3,0.25
"('Pex4', 'Pex32')",3,0.25
"('Pex17', 'Pex29')",3,0.25
"('Pex6', 'Vps1')",3,0.25
"('Pex11', 'Vps1')",3,0.25
"('Pex29', 'Pex30')",3,0.25
"('Pex34', 'Vps1')",3,0.25
"('Pex11', 'Pex29')",3,0.25
"('Pex10', 'Pex34')",3,0.25
"('Sei1', 'Vps1')",3,0.25
"('Pex29', 'Rtn1')",3,0.25
"('Pex29', 'Sei1')",3,0.25
"('Pex19', 'Pex29')",3,0.25
"('Pex1', 'Pex32')",3,0.25
"('Pex2', 'Pex34')",4,0.2
"('Pex29', 'Pex31')",4,0.2
"('Pex6', 'Pex30')",4,0.2
"('Pex14', 'Pex34')",4,0.2
"('Pex19', 'Pex34')",4,0.2
"('Pex15', 'Pex29')",4,0.2
"('Pex12', 'Vps1')",4,0.2
"('Pex17', 'Pex34')",5,0.166666666666667
"('Pex8', 'Pex32')",5,0.166666666666667
"('Pex4', 'Pex8')",5,0.166666666666667
"('Pex12', 'Pex29')",5,0.166666666666667
"('Pex15', 'Vps1')",5,0.166666666666667
"('Pex6', 'Pex19')",5,0.166666666666667
"('Pex13', 'Pex32')",5,0.166666666666667
"('Pex15', 'Pex19')",5,0.166666666666667
"('Pex6', 'Pex31')",5,0.166666666666667
"('Pex8', 'Pex28')",5,0.166666666666667
"('Pex10', 'Pex31')",5,0.166666666666667
"('Pex13', 'Pex28')",5,0.166666666666667
"('Pex15', 'Pex34')",5,0.166666666666667
"('Pex10', 'Pex32')",5,0.166666666666667
"('Pex4', 'Vps1')",5,0.166666666666667
"('Pex1', 'Vps1')",5,0.166666666666667
"('Pex28', 'Vps1')",5,0.166666666666667
"('Pex2', 'Pex32')",5,0.166666666666667
"('Pex2', 'Pex31')",5,0.166666666666667
"('Pex22', 'Pex34')",5,0.166666666666667
"('Pex30', 'Vps1')",5,0.166666666666667
"('Pex31', 'Vps1')",5,0.166666666666667
"('Pex19', 'Pex22')",6,0.142857142857143
"('Pex8', 'Pex31')",6,0.142857142857143
"('Pex2', 'Rtn1')",6,0.142857142857143
"('Pex13', 'Pex22')",6,0.142857142857143
"('Pex2', 'Pex30')",6,0.142857142857143
"('Pex2', 'Sei1')",6,0.142857142857143
"('Pex10', 'Pex30')",6,0.142857142857143
"('Pex6', 'Sei1')",6,0.142857142857143
"('Pex10', 'Sei1')",6,0.142857142857143
"('Pex11', 'Pex34')",6,0.142857142857143
"('Pex10', 'Rtn1')",6,0.142857142857143
"('Pex17', 'Pex32')",6,0.142857142857143
"('Pex14', 'Pex32')",6,0.142857142857143
"('Pex1', 'Pex8')",6,0.142857142857143
"('Pex32', 'Pex34')",6,0.142857142857143
"('Pex6', 'Pex13')",6,0.142857142857143
"('Pex32', 'Vps1')",6,0.142857142857143
"('Pex6', 'Pex10')",7,0.125
"('Pex2', 'Pex28')",7,0.125
"('Pex2', 'Pex6')",7,0.125
"('Pex6', 'Pex28')",7,0.125
"('Pex13', 'Pex30')",7,0.125
"('Pex2', 'Pex22')",7,0.125
"('Pex13', 'Pex31')",7,0.125
"('Pex8', 'Sei1')",7,0.125
"('Pex8', 'Pex30')",7,0.125
"('Pex13', 'Sei1')",7,0.125
"('Pex8', 'Rtn1')",7,0.125
"('Pex10', 'Pex22')",7,0.125
"('Pex10', 'Pex28')",7,0.125
"('Pex19', 'Pex32')",7,0.125
"('Pex3', 'Pex32')",7,0.125
"('Pex12', 'Pex34')",7,0.125
"('Pex34', 'Sei1')",7,0.125
"('Pex6', 'Rtn1')",7,0.125
"('Pex30', 'Pex34')",8,0.111111111111111
"('Pex31', 'Pex34')",8,0.111111111111111
"('Pex22', 'Pex32')",8,0.111111111111111
"('Pex13', 'Pex15')",8,0.111111111111111
"('Pex34', 'Rtn1')",8,0.111111111111111
"('Pex13', 'Rtn1')",8,0.111111111111111
"('Pex6', 'Pex17')",8,0.111111111111111
"('Pex5', 'Pex29')",8,0.111111111111111
"('Pex17', 'Pex28')",8,0.111111111111111
"('Pex4', 'Pex11')",8,0.111111111111111
"('Pex15', 'Pex32')",9,0.1
"('Pex8', 'Pex15')",9,0.1
"('Pex8', 'Pex14')",9,0.1
"('Pex8', 'Pex13')",9,0.1
"('Pex1', 'Pex29')",9,0.1
"('Pex17', 'Pex22')",9,0.1
"('Pex15', 'Pex30')",9,0.1
"('Pex10', 'Pex15')",9,0.1
"('Pex19', 'Sei1')",9,0.1
"('Pex1', 'Pex11')",9,0.1
"('Pex4', 'Pex29')",9,0.1
"('Pex8', 'Pex22')",9,0.1
"('Pex3', 'Pex31')",9,0.1
"('Pex2', 'Pex15')",9,0.1
"('Pex6', 'Pex8')",9,0.1
"('Pex3', 'Sei1')",9,0.1
"('Pex11', 'Pex19')",9,0.1
"('Pex14', 'Pex30')",9,0.1
"('Pex6', 'Pex14')",9,0.1
"('Pex11', 'Pex13')",10,0.090909090909091
"('Pex19', 'Pex31')",10,0.090909090909091
"('Pex12', 'Sei1')",10,0.090909090909091
"('Pex19', 'Rtn1')",10,0.090909090909091
"('Pex3', 'Pex6')",10,0.090909090909091
"('Pex1', 'Pex34')",10,0.090909090909091
"('Pex3', 'Pex22')",10,0.090909090909091
"('Pex12', 'Pex30')",10,0.090909090909091
"('Pex3', 'Pex30')",10,0.090909090909091
"('Pex3', 'Rtn1')",10,0.090909090909091
"('Rtn1', 'Vps1')",10,0.090909090909091
"('Pex15', 'Pex17')",10,0.090909090909091
"('Pex14', 'Sei1')",10,0.090909090909091
"('Pex22', 'Pex30')",10,0.090909090909091
"('Pex8', 'Pex12')",10,0.090909090909091
"('Pex8', 'Pex11')",10,0.090909090909091
"('Pex14', 'Pex31')",10,0.090909090909091
"('Pex5', 'Vps1')",10,0.090909090909091
"('Pex19', 'Pex28')",10,0.090909090909091
"('Pex6', 'Pex12')",10,0.090909090909091
"('Pex6', 'Pex11')",10,0.090909090909091
"('Pex4', 'Pex34')",10,0.090909090909091
"('Pex22', 'Vps1')",10,0.090909090909091
"('Pex14', 'Rtn1')",11,0.083333333333333
"('Pex14', 'Pex22')",11,0.083333333333333
"('Pex15', 'Pex31')",11,0.083333333333333
"('Pex14', 'Pex19')",11,0.083333333333333
"('Pex12', 'Pex32')",11,0.083333333333333
"('Pex12', 'Pex31')",11,0.083333333333333
"('Pex17', 'Rtn1')",11,0.083333333333333
"('Pex19', 'Pex30')",11,0.083333333333333
"('Pex17', 'Pex31')",11,0.083333333333333
"('Pex11', 'Pex17')",11,0.083333333333333
"('Pex17', 'Pex30')",11,0.083333333333333
"('Pex10', 'Pex11')",11,0.083333333333333
"('Pex4', 'Pex30')",11,0.083333333333333
"('Pex8', 'Pex17')",11,0.083333333333333
"('Pex2', 'Pex19')",11,0.083333333333333
"('Pex15', 'Sei1')",11,0.083333333333333
"('Pex8', 'Pex10')",11,0.083333333333333
"('Pex5', 'Pex32')",11,0.083333333333333
"('Pex13', 'Pex19')",11,0.083333333333333
"('Pex10', 'Pex19')",11,0.083333333333333
"('Pex12', 'Pex19')",11,0.083333333333333
"('Pex2', 'Pex8')",11,0.083333333333333
"('Pex4', 'Pex10')",11,0.083333333333333
"('Pex2', 'Pex4')",11,0.083333333333333
"('Pex17', 'Pex19')",12,0.076923076923077
"('Pex28', 'Pex29')",12,0.076923076923077
"('Pex17', 'Sei1')",12,0.076923076923077
"('Pex29', 'Pex34')",12,0.076923076923077
"('Pex22', 'Sei1')",12,0.076923076923077
"('Pex1', 'Pex2')",12,0.076923076923077
"('Pex2', 'Pex3')",12,0.076923076923077
"('Pex8', 'Pex19')",12,0.076923076923077
"('Pex3', 'Pex15')",12,0.076923076923077
"('Pex2', 'Pex11')",12,0.076923076923077
"('Pex1', 'Pex13')",12,0.076923076923077
"('Pex3', 'Pex11')",12,0.076923076923077
"('Pex1', 'Pex30')",12,0.076923076923077
"('Pex1', 'Pex10')",12,0.076923076923077
"('Pex11', 'Pex30')",12,0.076923076923077
"('Pex4', 'Sei1')",12,0.076923076923077
"('Pex11', 'Pex32')",12,0.076923076923077
"('Pex3', 'Pex13')",12,0.076923076923077
"('Pex11', 'Sei1')",12,0.076923076923077
"('Pex4', 'Pex13')",12,0.076923076923077
"('Pex3', 'Pex29')",12,0.076923076923077
"('Pex11', 'Pex31')",12,0.076923076923077
"('Pex4', 'Pex31')",13,0.071428571428572
"('Pex15', 'Rtn1')",13,0.071428571428572
"('Pex3', 'Pex10')",13,0.071428571428572
"('Pex22', 'Pex28')",13,0.071428571428572
"('Pex22', 'Pex31')",13,0.071428571428572
"('Pex3', 'Pex34')",13,0.071428571428572
"('Pex28', 'Pex34')",13,0.071428571428572
"('Pex5', 'Pex34')",13,0.071428571428572
"('Pex1', 'Sei1')",13,0.071428571428572
"('Pex3', 'Pex17')",13,0.071428571428572
"('Pex12', 'Rtn1')",13,0.071428571428572
"('Pex1', 'Pex31')",13,0.071428571428572
"('Pex11', 'Rtn1')",14,0.066666666666667
"('Pex12', 'Pex22')",14,0.066666666666667
"('Pex4', 'Pex28')",14,0.066666666666667
"('Pex11', 'Pex22')",14,0.066666666666667
"('Pex4', 'Rtn1')",14,0.066666666666667
"('Pex5', 'Pex6')",14,0.066666666666667
"('Pex3', 'Pex8')",14,0.066666666666667
"('Pex1', 'Pex28')",14,0.066666666666667
"('Pex14', 'Pex28')",14,0.066666666666667
"('Pex32', 'Sei1')",15,0.0625
"('Pex4', 'Pex12')",15,0.0625
"('Pex1', 'Pex14')",15,0.0625
"('Pex22', 'Rtn1')",15,0.0625
"('Pex5', 'Pex8')",15,0.0625
"('Pex3', 'Pex14')",15,0.0625
"('Pex4', 'Pex14')",15,0.0625
"('Pex1', 'Pex12')",15,0.0625
"('Pex1', 'Rtn1')",15,0.0625
"('Pex1', 'Pex3')",16,0.058823529411765
"('Pex4', 'Pex6')",16,0.058823529411765
"('Pex14', 'Pex15')",16,0.058823529411765
"('Pex4', 'Pex15')",16,0.058823529411765
"('Pex3', 'Pex4')",16,0.058823529411765
"('Pex2', 'Pex14')",16,0.058823529411765
"('Pex2', 'Pex13')",16,0.058823529411765
"('Pex1', 'Pex6')",17,0.055555555555556
"('Pex1', 'Pex15')",17,0.055555555555556
"('Pex3', 'Pex12')",17,0.055555555555556
"('Pex4', 'Pex19')",17,0.055555555555556
"('Pex1', 'Pex19')",17,0.055555555555556
"('Pex28', 'Pex32')",17,0.055555555555556
"('Pex10', 'Pex14')",17,0.055555555555556
"('Pex31', 'Pex32')",17,0.055555555555556
"('Pex28', 'Sei1')",17,0.055555555555556
"('Pex10', 'Pex13')",17,0.055555555555556
"('Pex32', 'Rtn1')",18,0.052631578947369
"('Pex30', 'Pex32')",18,0.052631578947369
"('Pex12', 'Pex13')",18,0.052631578947369
"('Pex3', 'Pex28')",18,0.052631578947369
"('Pex5', 'Pex13')",18,0.052631578947369
"('Pex5', 'Pex11')",18,0.052631578947369
"('Pex12', 'Pex17')",18,0.052631578947369
"('Pex5', 'Pex15')",18,0.052631578947369
"('Pex4', 'Pex22')",18,0.052631578947369
"('Pex15', 'Pex28')",18,0.052631578947369
"('Pex28', 'Pex31')",19,0.05
"('Pex28', 'Pex30')",19,0.05
"('Pex1', 'Pex22')",19,0.05
"('Pex11', 'Pex14')",19,0.05
"('Pex5', 'Pex10')",20,0.047619047619048
"('Pex5', 'Pex28')",20,0.047619047619048
"('Pex6', 'Pex15')",20,0.047619047619048
"('Pex6', 'Pex22')",20,0.047619047619048
"('Pex28', 'Rtn1')",20,0.047619047619048
"('Pex11', 'Pex28')",20,0.047619047619048
"('Pex5', 'Pex30')",20,0.047619047619048
"('Pex11', 'Pex15')",21,0.045454545454546
"('Pex2', 'Pex5')",21,0.045454545454546
"('Pex12', 'Pex15')",21,0.045454545454546
"('Pex2', 'Pex17')",21,0.045454545454546
"('Pex12', 'Pex28')",21,0.045454545454546
"('Pex3', 'Pex19')",21,0.045454545454546
"('Pex10', 'Pex17')",21,0.045454545454546
"('Pex5', 'Sei1')",22,0.043478260869565
"('Pex4', 'Pex17')",22,0.043478260869565
"('Pex2', 'Pex12')",22,0.043478260869565
"('Pex14', 'Pex17')",23,0.041666666666667
"('Pex5', 'Pex14')",23,0.041666666666667
"('Pex10', 'Pex12')",23,0.041666666666667
"('Pex1', 'Pex17')",23,0.041666666666667
